id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6560,00S,small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620.0,,US,US-OR,Blue River,no,,,00S,,https://en.wikipedia.org/wiki/McKenzie_Bridge_State_Airport,
6581,01C,closed,Grant Airport,43.341701507568,-85.775001525879,815.0,,US,US-MI,Grant,no,01C,,01C,,https://en.wikipedia.org/wiki/Grant_Airport,
4650,03N,small_airport,Utirik Airport,11.222,169.852005,4.0,OC,MH,MH-UTI,Utirik Island,yes,K03N,UTK,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,
6740,03S,small_airport,Sandy River Airport,45.401798248291016,-122.22899627685548,704.0,,US,US-OR,Sandy,no,03S,,03S,,https://en.wikipedia.org/wiki/Sandy_River_Airport,
6847,05S,small_airport,Vernonia Airfield,45.85150146484375,-123.24199676513672,647.0,,US,US-OR,Vernonia,no,05S,,05S,,https://en.wikipedia.org/wiki/Vernonia_Airfield,
6868,06FA,small_airport,William P Gwinn Airport,26.90839958190918,-80.32890319824219,28.0,,US,US-FL,Jupiter,no,06FA,,06FA,,https://en.wikipedia.org/wiki/North_Palm_Beach_County_General_Aviation_Airport,
6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8.0,,US,US-FL,Key Largo,no,07FA,OCA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,
7006,08R,small_airport,Richmond Airport,41.489498,-71.620598,130.0,,US,US-RI,West Kingston,no,,,08R,,https://en.wikipedia.org/wiki/Richmond_Airport_(Rhode_Island),RI04
7048,09OR,heliport,Mid-Columbia Medical Center Heliport,45.587235,-121.163827,487.0,,US,US-OR,The Dalles,no,09OR,,09OR,,https://en.wikipedia.org/wiki/Mid-Columbia_Medical_Center_Heliport,
7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305.0,,US,US-AK,Pilot Station,yes,,PQS,0AK,,https://en.wikipedia.org/wiki/Pilot_Station_Airport,
7100,0B7,small_airport,Warren-Sugarbush Airport,44.1166992188,-72.8271026611,1470.0,,US,US-VT,Warren,no,0B7,,0B7,,https://en.wikipedia.org/wiki/Warren-Sugarbush_Airport,
7181,0G5,seaplane_base,Grand Marais/Cook County Seaplane Base,47.8263,-90.3835,1635.0,,US,US-MN,Grand Marais,no,0G5,,0G5,http://www.boreal.org/airport/,https://en.wikipedia.org/wiki/Grand_Marais/Cook_County_Seaplane_Base,Devil Track Resort
7270,0L4,small_airport,Lida Junction Airport,37.485801696777344,-117.19100189208984,4684.0,,US,US-NV,Goldfield,no,0L4,,0L4,,https://en.wikipedia.org/wiki/Lida_Junction_Airport,
7271,0L5,small_airport,Goldfield Airport,37.722751,-117.236368,5680.0,,US,US-NV,Goldfield,no,NV50,,NV50,,https://en.wikipedia.org/wiki/Goldfield_Airport,0L5
7382,0N6,small_airport,Albanna Aviation Airport,39.012602,-75.533501,50.0,,US,US-DE,Felton,no,,,0N6,,https://web.archive.org/web/20170306030610/https://en.wikipedia.org/wiki/Henderson_Aviation_Airport,Henderson Aviation
7437,0O4,small_airport,Corning Municipal Airport,39.94359970092773,-122.1709976196289,292.0,,US,US-CA,Corning,no,0O4,,0O4,,https://en.wikipedia.org/wiki/Corning_Municipal_Airport_(California),
7463,0OR0,heliport,Providence Hospital Heliport,42.3386993408,-122.861999512,1350.0,,US,US-OR,Medford,no,0OR0,,0OR0,,https://en.wikipedia.org/wiki/Providence_Hospital_Heliport,
7508,0Q6,closed,Shingletown Airport,40.522099,-121.818001,3880.0,,US,US-CA,Shingletown,no,,,,,https://en.wikipedia.org/wiki/Shingletown_Airport,0Q6
7795,12S,small_airport,Monument Municipal Airport,44.8317985534668,-119.43000030517578,2323.0,,US,US-OR,Monument,no,12S,,12S,,https://en.wikipedia.org/wiki/Monument_Municipal_Airport,
7830,13MA,closed,Metropolitan Airport,42.223301,-72.311401,418.0,,US,US-MA,Palmer,no,,PMX,,,https://en.wikipedia.org/wiki/Metropolitan_Airport,"13MA, PMX"
7838,13NC,small_airport,Oak Grove Marine Corps Outlying Field,35.025006,-77.255945,27.0,,US,US-NC,Pollocksville,no,13NC,,13NC,,https://en.wikipedia.org/wiki/Marine_Corps_Outlying_Field_Oak_Grove,
7961,15OR,heliport,Camp Rilea Heliport,46.1159964394,-123.931392431,32.0,,US,US-OR,Warrenton,no,15OR,,15OR,,https://en.wikipedia.org/wiki/Camp_Rilea_Heliport,
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,
8017,16S,small_airport,Myrtle Creek Municipal Airport,42.997157,-123.315412,619.0,,US,US-OR,Myrtle Creek,no,K16S,,16S,http://www.cityofmyrtlecreek.com/city_departments/airport.php,https://en.wikipedia.org/wiki/Myrtle_Creek_Municipal_Airport,Tri-City
8038,17FL,small_airport,Jumbolair-Greystone Airport,29.277416,-82.120709,100.0,,US,US-FL,Ocala,no,17FL,,17FL,,https://en.wikipedia.org/wiki/Greystone_Airport,
8067,17S,small_airport,Chehalem Airpark,45.32369995117188,-123.0540008544922,190.0,,US,US-OR,Newberg,no,17S,,17S,,https://en.wikipedia.org/wiki/Chehalem_Airpark,
8126,19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50.0,,US,US-AK,Icy Bay,no,19AK,ICY,19AK,,https://en.wikipedia.org/wiki/Icy_Bay_Airport,
8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0.0,,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,
8174,1A8,small_airport,Empire Airport,40.577999,-119.352997,3990.0,,US,US-NV,Empire,no,18NV,,18NV,,https://en.wikipedia.org/wiki/Empire_Airport_(Nevada),1A8
8215,1B5,small_airport,Franconia Airport,44.195611,-71.751023,970.0,,US,US-NH,Franconia,no,,,1B5,,https://en.wikipedia.org/wiki/Franconia_Airport,
8220,1C9,small_airport,Frazier Lake Airpark,36.95330047607422,-121.46499633789062,151.0,,US,US-CA,Hollister,no,1C9,,1C9,,https://en.wikipedia.org/wiki/Frazier_Lake_Airpark,
8272,1F6,closed,Dolgeville Airport,43.116695,-74.749603,945.0,,US,US-NY,Dolgeville,no,,,,,https://en.wikipedia.org/wiki/Dolgeville_Airport,1F6
8273,1F7,small_airport,Airpark East Airport,32.81399917602539,-96.35220336914062,510.0,,US,US-TX,Dallas,no,1F7,,1F7,,https://en.wikipedia.org/wiki/Airpark_East_Airport,
8378,1K1,small_airport,Lloyd Stearman Field,37.77790069580078,-97.1135025024414,1364.0,,US,US-KS,Benton,no,1K1,,1K1,,https://en.wikipedia.org/wiki/Lloyd_Stearman_Field,
